,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
339,Chevrolet,Onix,2021,Blanco,Gasolina,5,Mecánica,1.0,Sedán,78000 km,59.900.000,https://carro.mercadolibre.com.co/MCO-927468411-renault-duster-_JM#position=4&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Dosquebradas
340,Ford,Ranger,2022,Plateado,Gasolina,5,Mecánica,2.5L,Pick-Up,0 km,135.990.000,https://carro.mercadolibre.com.co/MCO-909634677-mazda-cx-5-25-touring-_JM#position=5&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Turin - Pereira
341,Volkswagen,Gol,2018,Gris,Gasolina,5,Mecánica,1.6,Hatchback,68353 km,41.900.000,https://carro.mercadolibre.com.co/MCO-896554402-chevrolet-tracker-lt-18-aut-2014-_JM#position=6&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Alamos - Pereira
342,Kia,Sportage,2013,Blanco,Diésel,5,Automática,2.0,Camioneta,95157 km,75.900.000,https://carro.mercadolibre.com.co/MCO-937229479-n300-max-cargo-12-mec-rwd-2015-551-_JM#position=7&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Providencia - Pereira
343,Mazda,2,2014,Rojo,Gasolina,5,Automática,1.5,Hatchback,98528 km,41.900.000,https://carro.mercadolibre.com.co/MCO-933479786-chevrolet-optra-1800cc-2007-_JM#position=8&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Dosquebradas
344,Renault,Stepway,2021,Gris,Gasolina,5,Mecánica,1.6,Hatchback,18600 km,62.900.000,https://carro.mercadolibre.com.co/MCO-933474041-chevrolet-captiva-sport-at-3000cc-2012-_JM#position=9&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Dosquebradas
345,Kia,Sportage,2013,Blanco,Gasolina,5,Automática,2.0,Camioneta,83000 km,66.900.000,https://carro.mercadolibre.com.co/MCO-930122509-mini-cooper-salt-15-aut-sec-fwd-2017-954-_JM#position=10&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Providencia - Pereira
346,Chevrolet,Spark GT,2012,Azul,Gasolina,5,Mecánica,1200,Hatchback,95324 km,29.900.000,https://carro.mercadolibre.com.co/MCO-927536571-renault-sandero-_JM#position=11&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Dosquebradas
347,Chevrolet,Sail,2018,Negro,Gasolina,5,Mecánica,1.4,Sedán,68303 km,35.900.000,https://carro.mercadolibre.com.co/MCO-927555777-ford-ecosport-_JM#position=12&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Dosquebradas
348,Volkswagen,Jetta,2012,Negro,Gasolina,5,Automática,2.5,Sedán,87928 km,40.900.000,https://carro.mercadolibre.com.co/MCO-920710133-mercedes-benz-c-200-exclusive-20-aut-sec-rwd-2015-242-_JM#position=13&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Providencia - Pereira
349,Chevrolet,Beat,2022,Negro,Gasolina,5,Mecánica,1600,Sedán,11653 km,45.900.000,https://carro.mercadolibre.com.co/MCO-909463941-chevrolet-cruze-nickel-mt-1800cc-2012-_JM#position=14&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Dosquebradas
350,Nissan,Kicks,2017,Plateado,Gasolina,5,Mecánica,1.6,Camioneta,102774 km,69.900.000,https://carro.mercadolibre.com.co/MCO-938923023-nissan-frontier-estacas-25-4x4-_JM#position=15&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Turin - Pereira
351,Renault,Kwid,2021,Blanco,Gasolina,5,Mecánica,1.0,Camioneta,52520 km,44.900.000,https://carro.mercadolibre.com.co/MCO-933632608-chevrolet-tracker-18-ls-_JM#position=16&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Belmonte - Pereira
