,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
317,Volkswagen,Gol,2019,Gasolina,5,Automática,1.6,Hatchback,NA,70000 km,45.500.000,https://carro.mercadolibre.com.co/MCO-932104183-volkswagen-gol-2019-16-comfortline-_JM,Manizales - Caldas
318,Toyota,Prado,2016,Gasolina,5,Mecánica,4.0,Camioneta,NA,119000 km,220.000.000,https://carro.mercadolibre.com.co/MCO-931846153-toyota-prado-2016-40-tx-fl-_JM,Manizales - Caldas
319,Renault,Twingo,2011,Gasolina,5,Mecánica,1.2,Hatchback,NA,145000 km,19.000.000,https://carro.mercadolibre.com.co/MCO-939404982-renault-twingo-2011-12-access-_JM,Manizales - Caldas
320,Volkswagen,Jetta,2014,Gasolina,5,Mecánica,2.0,Station Wagon,NA,152000 km,38.000.000,https://carro.mercadolibre.com.co/MCO-936078577-volkswagen-jetta-2014-20-trendline-5-p-_JM,Manizales - Caldas
321,Mercedes-Benz,Clase CLA,2016,Gasolina,2,Automática,1.6,Coupé,NA,107000 km,82.000.000,https://carro.mercadolibre.com.co/MCO-935321206-mercedes-benz-clase-cla-2016-16-limited-plus-_JM,Manizales - Caldas
322,Toyota,Prado,2008,Gasolina,5,Mecánica,2.7,Camioneta,NA,118000 km,76.000.000,https://carro.mercadolibre.com.co/MCO-934260469-toyota-prado-2008-27-sumo-ego-_JM,Anserma - Caldas
323,Ford,Fiesta,2017,Gasolina,5,Automática,1.6,Hatchback,NA,4656 km,50.000.000,https://carro.mercadolibre.com.co/MCO-927095945-ford-fiesta-2017-16-hatchback-titanium-_JM,Manizales - Caldas
324,Hyundai,Accent,2012,Rojo,Gasolina,5,Mecánica,1.4,Hatchback,84000 km,34.800.000,https://carro.mercadolibre.com.co/MCO-905800211-hyundai-accent-i25-gl-_JM,La Dorada - Caldas
325,Hyundai,i10,2009,Negro,Gasolina,5,Mecánica,1.1,Hatchback,155000 km,21.500.000,https://carro.mercadolibre.com.co/MCO-900386936-hyundai-i10-sin-aire-modelo-2009-155000-kms-_JM,24 HORAS
326,Toyota,Land Cruiser,1987,Blanco,Gasolina,2,Mecánica,4.0,Camioneta,291000 km,69.000.000,https://carro.mercadolibre.com.co/MCO-913157319-toyota-land-cruiser-fj73-carevaca-40-estacas-4x4-modelo-87-_JM,Palermo - Manizales - Caldas
